country,gdp,defense_budget,total_manpower,active_personnel,reserve_personnel,air_force_personnel,army_personnel,navy_personnel,total_aircraft,attack_aircraft,fighter_aircraft,transport_aircraft,helicopters,special_mission_aircraft,trainer_aircraft,attack_helicopters,tanker_aircraft,naval_assets,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessel,mine_warfare,tanks,vehicles,self_propelled_artillery,towed_artillery,rocket_artillery,external_debt,power_index
Sri Lanka,301407000000,1500000000,10551652,346000,90000,26000,150000,40000,90,0,6,15,49,3,7,8,0,275,0,0,0,5,0,0,259,0,87,15,0,96,28,42198000000,1.3822
Lebanon,65415000000,800000000,2092148,80000,15000,2500,99000,1500,80,9,0,0,68,0,9,0,0,48,0,0,0,0,0,0,42,0,334,6,12,350,11,41619000000,2.6521
Egypt,1958000000000,5193500000,45611372,438500,479000,50000,685000,50000,1,90,242,53,348,11,344,100,0,149,0,2,0,13,7,8,61,17,3,54,1,962,648,117272000000,0.3651
Croatia,164825000000,2744000000,2033557,14325,20100,1500,7000,1365,67,0,12,0,37,0,26,0,0,30,0,0,0,0,0,0,11,1,55,4,25,42,42,60500000000,1.5432
Belarus,265220000000,1034784000,5035769,63000,365400,11300,18000,0,194,50,43,4,70,0,27,31,0,0,0,0,0,0,0,0,0,0,577,6,357,190,206,18010000000,1.4072
Libya,90609000000,1474800000,3827857,32000,0,1000,85000,7500,83,1,10,12,22,0,35,4,0,5,0,0,0,1,0,0,2,0,55,2,20,38,25,3654200000,1.7872
United Kingdom,3636000000000,88526529585,31491165,141330,31940,34800,108413,37890,625,38,103,30,262,29,201,50,9,116,2,0,6,7,0,10,26,8,288,94,14,126,43,10553123900000,0.1881
New Zealand,257117000000,2455949332,2219321,10050,3300,2875,6345,2873,47,0,0,7,21,6,13,0,0,8,0,0,0,2,0,0,4,0,0,3,0,31,0,230651410000,1.9258
Cambodia,123676000000,750000000,8190561,124300,0,1500,75000,2800,24,0,0,4,20,0,0,0,0,20,0,0,0,0,0,0,20,0,520,5,30,525,521,8019000000,1.8434
Jordan,109986000000,2668500000,3463947,114500,100000,14000,146000,5500,279,10,44,12,159,11,66,44,0,27,0,0,0,0,0,0,27,0,1,25,478,80,84,21058000000,1.5581
Burkina Faso,60001000000,4590000000,8525614,7500,0,300,7000,0,26,3,0,2,19,2,0,5,0,0,0,0,0,0,0,0,0,0,0,876,0,8,9,3565000000,2.9213
Mexico,2883000000000,9100000000,61447766,387000,98653,30515,275443,92043,424,32,2,40,173,25,175,0,0,164,0,0,0,1,3,0,142,0,0,23,35,0,0,306308000000,0.6401
Mozambique,51786000000,480000000,14674420,11200,0,4000,11200,1000,23,2,8,5,7,0,1,2,0,36,0,0,0,0,0,0,36,0,60,3,0,104,12,8274000000,1.9769
Albania,51360000000,720037190,1522479,7500,0,650,2335,1000,20,0,0,1,19,0,0,0,0,33,0,0,0,0,0,0,33,0,0,1,10,0,270,5363000000,1.7258
Vietnam,1456000000000,10200000000,54994667,450000,5000000,35000,5450000,50000,265,0,61,6,101,3,91,0,0,116,0,0,0,9,17,6,27,8,1,69,30,3,774,34426000000,0.4066
Mali,71253000000,1110000000,6817088,40000,0,550,44800,0,44,12,9,8,10,1,4,8,0,0,0,0,0,0,0,0,0,0,0,3,0,50,30,4085000000,2.2598
Indonesia,4102000000000,11155297716,137965608,404500,401000,30100,300400,66034,460,34,41,73,212,15,114,15,1,338,0,0,0,10,26,4,211,10,331,28,153,396,67,225273000000,0.2582
Kazakhstan,739385000000,5836386000,9117003,110000,135000,12000,80000,3000,168,13,37,21,72,0,25,12,0,26,0,0,0,0,0,0,23,2,353,17,126,194,287,25765000000,1.0433
Poland,1649000000000,55865141600,18985692,250000,350000,16500,110000,8240,457,12,58,44,224,11,112,29,0,63,0,0,0,2,2,1,3,29,798,57,593,0,298,425641700000,0.3891
United Arab Emirates,745994000000,23480000000,5818684,65000,130000,7000,44000,3000,581,40,99,35,250,27,151,30,5,84,0,0,0,0,11,0,34,2,354,8,165,99,49,290400000000,1.0188
France,3732000000000,67232395000,30084820,264000,43444,44120,141600,47000,974,0,223,118,452,44,140,67,15,166,1,3,11,5,0,9,22,19,427,110,74,0,9,7691315390000,0.1798
Kosovo,25019000000,1177450000,917371,4000,5000,0,9000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,785739000,3.8041
Namibia,31154000000,450498000,616805,17567,0,1175,8500,3000,36,0,11,5,7,0,13,2,0,15,0,0,0,0,2,0,15,0,7,2,0,50,55,9680000000,2.7414
Netherlands,1276000000000,31791150000,7997570,44245,8510,9500,53212,24822,130,38,0,4,67,0,21,16,0,140,0,0,0,6,0,3,76,3,18,6,46,0,4,5257949730000,0.6142
Switzerland,741035000000,8372658426,3898653,147178,0,20000,127178,0,141,0,40,16,39,3,43,0,0,0,0,0,0,0,0,0,0,0,134,6,133,0,0,2420000000000,0.8396
Serbia,177093000000,2770000000,3259584,22500,2000,3000,13200,0,115,17,11,3,51,0,33,4,0,0,0,0,0,0,0,0,0,0,242,7,96,150,73,21726000000,1.2938
Zambia,79207000000,385321000,7279691,15150,0,3745,13250,0,78,0,0,13,33,0,34,0,0,0,0,0,0,0,0,0,0,0,75,848,12,60,50,16597000000,2.4461
Sweden,668628000000,15900000000,4235934,25600,34000,8255,15300,2100,172,0,73,6,53,3,36,0,1,279,0,0,0,0,7,4,116,8,110,27,24,0,0,1102693570000,0.4834
Taiwan,1743000000000,31180000000,12269542,230000,1657000,125000,94000,107000,720,0,258,19,239,18,215,91,0,91,0,0,4,21,7,4,36,10,1,24,488,1,223,229900000000,0.3927
Senegal,83183000000,777800000,7162057,17000,0,1000,15460,500,39,0,0,5,19,1,22,5,0,4,0,0,0,0,0,0,4,0,0,1,0,20,6,14985000000,2.8925
Thailand,1558000000000,6006660000,36358919,360850,200000,46000,245000,69850,496,26,73,52,258,25,134,7,0,304,0,1,0,7,5,0,254,5,744,52,59,595,17,37065000000,0.4458
Czech Republic,521928000000,9174000000,5093808,30334,4900,3120,13000,0,103,16,12,10,42,2,21,4,0,0,0,0,0,0,0,0,0,0,20,6,53,0,16,232320000000,1.0313
Ukraine,577583000000,45000000000,18187531,900000,4000000,35000,250000,11000,347,30,88,22,140,5,72,39,0,169,0,0,0,0,0,0,133,5,1,45,682,625,288,90003000000,0.3691
Ethiopia,380895000000,3720968976,56904143,503000,138000,5000,626000,11500,104,0,25,9,33,0,34,7,0,0,0,0,0,0,0,0,0,0,338,8,142,469,79,25426000000,0.8525
Uruguay,108502000000,1903440000,1575652,24000,0,2850,15450,5700,43,6,0,6,12,5,12,0,2,16,0,0,0,0,0,0,5,2,62,5,16,83,4,54450000000,2.1537
Ecuador,252728000000,2963400000,8422593,41250,118000,6200,25650,9400,99,0,0,20,43,8,34,0,0,30,0,0,0,2,6,2,5,0,202,5,5,106,24,39658000000,1.4479
Hungary,389207000000,5887250000,4632200,41600,20000,5750,32000,0,80,0,12,3,50,0,17,8,0,0,0,0,0,0,0,0,0,0,220,11,24,295,0,151250000000,1.0429
Singapore,800304000000,18000000000,3918498,51000,252500,13500,280000,9000,235,0,100,9,75,9,36,20,11,101,0,0,0,6,6,6,55,4,170,17,48,89,24,1884751660000,0.5272
Montenegro,17375000000,204000000,143964,2350,0,480,1500,550,10,0,0,0,10,0,0,0,0,20,0,0,0,0,0,0,14,0,0,946,0,12,12,3643000000,2.9782
Georgia,91849000000,680000000,2744538,37000,205500,3000,205500,0,61,5,0,2,44,0,10,11,0,19,0,0,0,0,0,0,31,4,132,5,67,121,42,9085000000,2.0779
Mauritania,33069000000,270625000,1687936,31540,66000,1105,102540,1500,23,4,0,7,4,2,6,0,0,6,0,0,0,0,0,0,6,0,51,5,0,75,0,3072000000,2.7919
India,14244000000000,109000000000,662290299,1431000,1000000,289000,2148000,148869,2,124,476,277,594,72,334,79,6,343,2,0,13,18,21,18,146,0,3,163,100,5,300,212728000000,0.1346
Tunisia,156086000000,2172751250,6024424,89800,0,4500,150000,5000,155,0,10,12,101,4,28,0,0,37,0,0,0,1,1,0,30,0,145,13,0,105,0,21212000000,1.7823
Guatemala,232673000000,616000000,7484639,106114,90000,2210,196114,3200,35,3,0,10,20,2,0,0,0,25,0,0,0,0,0,0,20,0,0,3,0,110,0,11862000000,2.1277
Kenya,328632000000,1651803025,21551160,50000,0,4175,50000,2500,154,0,17,21,84,2,30,2,0,27,0,0,0,0,0,0,18,0,188,9,18,53,0,31451000000,1.8588
North Korea,15416000000,4750000000,9467520,1320000,560000,110000,1370000,60000,837,114,341,1,205,0,176,20,0,332,0,0,2,2,8,24,227,1,4,47,1,700,1,6050000000,0.5933
Bulgaria,219645000000,2485350000,3187850,36950,3000,8500,39950,4450,71,5,11,6,23,0,26,4,0,45,0,0,0,6,3,0,0,17,334,6,48,24,24,14277000000,1.2522
Turkey,3018000000000,51400000000,42985080,481000,380000,52850,401500,100000,1,0,201,84,509,27,301,111,7,192,0,1,0,17,9,14,40,11,2,98,1,635,237,149654000000,0.1975
Uzbekistan,379989000000,6210000000,18990708,120000,0,15000,95000,550,159,13,26,12,101,0,7,34,0,0,0,0,0,0,0,0,0,0,470,8,177,236,108,25714000000,0.9908
Slovakia,218762000000,2900000000,2837461,20982,0,3200,18282,0,48,0,7,7,22,1,11,0,0,0,0,0,0,0,0,0,0,0,45,6,35,9,25,140360000000,1.3911
Norway,507680000000,11189483200,2203893,33440,20100,3650,8735,4010,109,43,0,4,34,5,23,0,0,48,0,0,0,4,6,6,20,5,36,11,28,0,0,787758400000,0.6679
Belgium,749229000000,14900000000,4910830,26390,6600,5700,11547,1355,104,12,44,7,14,0,27,0,0,9,0,0,0,2,0,0,2,5,0,3,0,0,0,1594190730000,1.2201
Morocco,350594000000,16100000000,17946041,400000,250000,13000,500000,9300,271,0,84,31,73,4,77,6,2,100,0,0,0,6,1,0,84,0,1,17,544,188,185,42262000000,1.0368
Armenia,60909000000,1480000000,1666988,65000,210000,5000,65000,0,69,14,4,3,36,0,12,20,0,0,0,0,0,0,0,0,0,0,109,1,104,193,100,6002000000,2.2016
Central African Republic,5926000000,300000000,2203873,30000,0,100,30000,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,0,0,0,724179000,4.2381
Luxembourg,86871000000,1530685000,154388,1200,0,0,1200,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476,0,0,0,5203000000000,2.4429
United States Of America,25676000000000,831500000000,150463900,1333030,799500,708758,1174890,612124,13,926,1,917,5,611,2,1,610,465,11,9,83,0,27,66,0,4,4,409,1,1,1,24538900710000,0.0741
Japan,5715000000000,58000000000,52976836,251500,56000,50000,206700,50800,1,47,217,53,583,135,399,118,10,158,0,4,41,8,0,23,6,18,734,54,193,480,99,5147667910000,0.1876
South Sudan,6752000000,30700000,6351857,185000,0,230,184120,325,19,0,0,4,15,0,0,6,0,0,0,0,0,0,0,0,0,0,122,2,24,0,15,2722500000,2.4645
Botswana,45553000000,581000000,1029281,12000,0,500,12000,0,45,0,10,9,16,0,10,0,0,0,0,0,0,0,0,0,0,0,45,1,12,36,20,1761000000,2.9993
Tajikistan,50370000000,450460000,4781269,150000,600000,1200,9000,0,25,0,0,1,20,0,4,6,0,0,0,0,0,0,0,0,0,0,38,6,3,13,24,3024000000,2.1749
Latvia,72516000000,42000000,810561,17870,38000,250,55870,1000,3,0,0,0,3,0,0,0,0,18,0,0,0,0,0,0,11,6,0,3,47,0,0,48598440000,2.2316
