country,gdp,defense_budget,total_manpower,active_personnel,reserve_personnel,air_force_personnel,army_personnel,navy_personnel,total_aircraft,attack_aircraft,fighter_aircraft,transport_aircraft,helicopters,special_mission_aircraft,trainer_aircraft,attack_helicopters,tanker_aircraft,naval_assets,aircraft_carriers,helicopter_carriers,destroyers,frigates,corvettes,submarines,patrol_vessel,mine_warfare,tanks,vehicles,self_propelled_artillery,towed_artillery,rocket_artillery,external_debt,power_index
Ukraine,"$577,583,000,000 USD","$45,000,000,000 USD","18,187,531","900,000","4,000,000","35,000","250,000","11,000","Stock: 347			
Readiness: 191*","Stock: 30 (8.6%)

Readiness: 17*","Stock: 88 (25.4%)

Readiness: 48*","Stock: 22 (6.3%)

Readiness: 12*","Stock: 140 (40.3%)

Readiness: 77*","Stock: 5 (1.4%)

Readiness: 3*","Stock: 72 (20.7%)

Readiness: 40*","Stock: 39 (11.2%)

Readiness: 21*","Stock: 0 (0.0%)

Readiness: 0*",169,0,0,0,0,0,0,133,5,"Stock: 1,121				
Readiness: 729*","Stock: 45,458            	
Readiness: 29,548*","Stock: 682				
Readiness: 443*","Stock: 625				
Readiness: 406*","Stock: 288				
Readiness: 187*","$90,003,000,000 USD",0.3691
Bahrain,"$93,937,000,000 USD","$997,015,509 USD","846,120","18,400","110,000","1,500","130,000",700,"Stock: 137			
Readiness: 69*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 28 (20.4%)

Readiness: 14*","Stock: 3 (2.2%)

Readiness: 2*","Stock: 66 (48.2%)

Readiness: 33*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 40 (29.2%)

Readiness: 20*","Stock: 34 (24.8%)

Readiness: 17*","Stock: 0 (0.0%)

Readiness: 0*",64,0,0,0,2,2,0,50,0,"Stock: 150				
Readiness: 90*","Stock: 5,196            	
Readiness: 3,118*","Stock: 38				
Readiness: 23*","Stock: 26				
Readiness: 16*","Stock: 18				
Readiness: 11*","$54,450,000,000 USD",1.6731
Kyrgyzstan,"$50,907,000,000 USD","$654,000,000 USD","3,147,772","23,000",0,500,"20,000",0,"Stock: 7			
Readiness: 4*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 7 (100.0%)

Readiness: 4*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 2 (28.6%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*",,,,,,,,,,"Stock: 215				
Readiness: 129*","Stock: 5,372            	
Readiness: 3,223*","Stock: 30				
Readiness: 18*","Stock: 174				
Readiness: 104*","Stock: 21				
Readiness: 13*","$3,617,000,000 USD",2.3969
Angola,"$278,239,000,000 USD","$31,200,000,000 USD","7,440,412","107,000",0,"6,000","100,000","1,500","Stock: 278			
Readiness: 153*","Stock: 6 (2.2%)

Readiness: 3*","Stock: 67 (24.1%)

Readiness: 37*","Stock: 32 (11.5%)

Readiness: 18*","Stock: 115 (41.4%)

Readiness: 63*","Stock: 2 (0.7%)

Readiness: 1*","Stock: 56 (20.1%)

Readiness: 31*","Stock: 14 (5.0%)

Readiness: 8*","Stock: 0 (0.0%)

Readiness: 0*",32,0,0,0,0,0,0,32,0,"Stock: 319				
Readiness: 191*","Stock: 2,258            	
Readiness: 1,355*","Stock: 25				
Readiness: 15*","Stock: 575				
Readiness: 345*","Stock: 116				
Readiness: 70*","$45,299,000,000 USD",1.1045
Sierra Leone,"$26,728,000,000 USD","$450,000,000 USD","2,006,631","13,000",0,175,"12,575",250,"Stock: 1			
Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 1 (100.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",10,0,0,0,0,0,0,10,0,"Stock: 0				
Readiness: 0*","Stock: 350            	
Readiness: 175*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","$1,451,000,000 USD",3.9201
Laos,"$66,905,000,000 USD","$355,600,000 USD","3,499,565","100,000","30,000",500,"130,000","2,000","Stock: 29			
Readiness: 16*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 2 (6.9%)

Readiness: 1*","Stock: 20 (69.0%)

Readiness: 11*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 7 (24.1%)

Readiness: 4*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",,,,,,,,,,"Stock: 160				
Readiness: 104*","Stock: 7,725            	
Readiness: 5,021*","Stock: 50				
Readiness: 33*","Stock: 97				
Readiness: 63*","Stock: 64				
Readiness: 42*","$9,619,000,000 USD",2.8672
Nicaragua,"$52,989,000,000 USD","$1,311,600,000 USD","3,271,705","45,000",0,815,"42,935","1,250","Stock: 17			
Readiness: 9*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 5 (29.4%)

Readiness: 3*","Stock: 12 (70.6%)

Readiness: 6*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 1 (5.9%)

Readiness: 1*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",23,0,0,0,0,0,0,23,0,"Stock: 186				
Readiness: 102*","Stock: 6,344            	
Readiness: 3,489*","Stock: 0				
Readiness: 0*","Stock: 347				
Readiness: 191*","Stock: 151				
Readiness: 83*","$6,753,000,000 USD",2.5894
Republic Of The Congo,"$39,147,000,000 USD","$933,360,000 USD","2,256,136","10,000",0,675,"9,325",0,"Stock: 14			
Readiness: 6*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 2 (14.3%)

Readiness: 1*","Stock: 4 (28.6%)

Readiness: 2*","Stock: 8 (57.1%)

Readiness: 4*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 1 (7.1%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",4,0,0,0,0,0,0,0,0,"Stock: 61				
Readiness: 31*","Stock: 804            	
Readiness: 402*","Stock: 3				
Readiness: 2*","Stock: 38				
Readiness: 19*","Stock: 30				
Readiness: 15*","$6,360,000,000 USD",2.6259
Indonesia,"$4,102,000,000,000 USD","$11,155,297,716 USD","137,965,608","404,500","401,000","30,100","300,400","66,034","Stock: 460			
Readiness: 299*","Stock: 34 (7.4%)

Readiness: 22*","Stock: 41 (8.9%)

Readiness: 27*","Stock: 73 (15.9%)

Readiness: 47*","Stock: 212 (46.1%)

Readiness: 138*","Stock: 15 (3.3%)

Readiness: 10*","Stock: 114 (24.8%)

Readiness: 74*","Stock: 15 (3.3%)

Readiness: 10*","Stock: 1 (0.2%)

Readiness: 1*",338,0,0,0,10,26,4,211,10,"Stock: 331				
Readiness: 215*","Stock: 28,064            	
Readiness: 18,242*","Stock: 153				
Readiness: 99*","Stock: 396				
Readiness: 257*","Stock: 67				
Readiness: 44*","$225,273,000,000 USD",0.2582
Switzerland,"$741,035,000,000 USD","$8,372,658,426 USD","3,898,653","147,178",0,"20,000","127,178",0,"Stock: 141			
Readiness: 99*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 40 (28.4%)

Readiness: 28*","Stock: 16 (11.3%)

Readiness: 11*","Stock: 39 (27.7%)

Readiness: 27*","Stock: 3 (2.1%)

Readiness: 2*","Stock: 43 (30.5%)

Readiness: 30*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",,,,,,,,,,"Stock: 134				
Readiness: 94*","Stock: 6,885            	
Readiness: 4,820*","Stock: 133				
Readiness: 93*","Stock: 0				
Readiness: 0*","Stock: 0				
Readiness: 0*","$2,420,000,000,000 USD",0.8396
Vietnam,"$1,456,000,000,000 USD","$10,200,000,000 USD","54,994,667","450,000","5,000,000","35,000","5,450,000","50,000","Stock: 265			
Readiness: 146*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 61 (23.0%)

Readiness: 34*","Stock: 6 (2.3%)

Readiness: 3*","Stock: 101 (38.1%)

Readiness: 56*","Stock: 3 (1.1%)

Readiness: 2*","Stock: 91 (34.3%)

Readiness: 50*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",116,0,0,0,9,17,6,27,8,"Stock: 1,999				
Readiness: 1,199*","Stock: 69,914            	
Readiness: 41,948*","Stock: 30				
Readiness: 18*","Stock: 3,250				
Readiness: 1,950*","Stock: 774				
Readiness: 464*","$34,426,000,000 USD",0.4066
Lithuania,"$136,227,000,000 USD","$5,651,760,000 USD","1,708,321","23,000","104,000","1,500","21,000",700,"Stock: 9			
Readiness: 6*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 5 (55.6%)

Readiness: 3*","Stock: 4 (44.4%)

Readiness: 3*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",13,0,0,0,0,0,0,5,4,"Stock: 0				
Readiness: 0*","Stock: 4,553            	
Readiness: 2,732*","Stock: 16				
Readiness: 10*","Stock: 54				
Readiness: 32*","Stock: 0				
Readiness: 0*","$48,400,000,000 USD",1.8949
Croatia,"$164,825,000,000 USD","$2,744,000,000 USD","2,033,557","14,325","20,100","1,500","7,000","1,365","Stock: 67			
Readiness: 50*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 12 (17.9%)

Readiness: 9*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 37 (55.2%)

Readiness: 28*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 26 (38.8%)

Readiness: 20*","Stock: 0 (0.0%)

Readiness: 0*","Stock: 0 (0.0%)

Readiness: 0*",30,0,0,0,0,0,0,11,1,"Stock: 55				
Readiness: 44*","Stock: 4,874            	
Readiness: 3,899*","Stock: 25				
Readiness: 20*","Stock: 42				
Readiness: 34*","Stock: 42				
Readiness: 34*","$60,500,000,000 USD",1.5432
